SensoDuino log file created:
DATE: 2014/4/29
TIME:  2:01:38
----------------------------
AccLin, 153, -0.34778214,0.78227127,-0.7749529, 3
Gravity, 154, 0.64168465,-0.23895538,9.782716, 3
RotVec, 155, -0.036682036,-0.005842986,-0.86206365, 3
AccLin, 156, -0.81717396,0.92682195,0.09641647, 3
Gravity, 157, 0.09886228,0.344484,9.800099, 3
RotVec, 158, 0.0027503395,-0.016547194,-0.9293424, 3
AccLin, 159, -1.549248,-1.5740459,2.8500595, 3
Gravity, 160, 0.20433742,0.29543242,9.800069, 3
RotVec, 161, -0.0043574926,-0.015432705,-0.95784783, 3
AccLin, 162, -0.17952299,-0.8781928,-0.8756962, 3
Gravity, 163, -0.34089592,0.11780822,9.800015, 3
RotVec, 164, 0.018228836,-5.192163E-4,-0.94375134, 3
AccLin, 165, 0.44095293,0.95705724,-0.31060982, 3
Gravity, 166, -0.27850446,0.14839643,9.801572, 3
RotVec, 167, 0.014858837,5.007557E-5,-0.93289304, 3
AccLin, 168, -0.27522242,-0.21898973,0.20302391, 3
Gravity, 169, -0.15628183,0.56177616,9.789299, 3
RotVec, 170, 0.015176692,-0.022194149,-0.9323119, 3
AccLin, 171, -0.15228653,-0.6383571,-1.8364182, 3
Gravity, 172, -0.5914408,0.93106,9.74442, 3
RotVec, 173, 0.043183792,-0.03523235,-0.94571257, 3
AccLin, 174, 1.0897443,0.23866177,1.2169676, 3
Gravity, 175, -1.0154381,0.90282696,9.712064, 3
RotVec, 176, 0.06017413,-0.034002356,-0.96317726, 3
AccLin, 177, -0.0036224127,-0.6124043,-1.8199482, 3
Gravity, 178, -1.5191561,1.525136,9.5674715, 3
RotVec, 179, 0.0893535,-0.06364876,-0.98166543, 3
AccLin, 180, 0.3443901,-0.7747875,-0.9909067, 3
Gravity, 181, -0.80011666,0.7916464,9.741842, 3
RotVec, 182, -0.03805787,0.045134634,0.9956091, 3
AccLin, 183, -0.051588416,0.88181776,0.271945, 3
Gravity, 184, -0.08423272,0.6935098,9.781734, 3
RotVec, 185, 0.0018765396,0.037194323,0.95848674, 3
AccLin, 186, -0.8646495,-1.2873333,1.048276, 3
Gravity, 187, -0.038329806,1.1866924,9.734509, 3
RotVec, 188, 0.018912882,0.056378856,0.92792416, 3
AccLin, 189, -0.311357,-0.55106187,0.14042282, 3
Gravity, 190, -0.048585616,0.593206,9.788571, 3
RotVec, 191, 0.007568091,0.032225415,0.95145553, 3
AccLin, 192, 0.27027053,0.501122,-0.6397209, 3
Gravity, 193, -0.2254627,0.39017057,9.796291, 3
RotVec, 194, -0.0036654999,0.024252338,0.9689367, 3
AccLin, 195, -1.6392751,-0.56504214,2.659997, 3
Gravity, 196, -0.63819796,0.2579368,9.782462, 3
RotVec, 197, -0.02885186,0.018945998,0.9796831, 3
AccLin, 198, 0.44956252,1.0194154,-1.9299717, 3
Gravity, 199, -0.74601644,0.51303494,9.764765, 3
RotVec, 200, -0.03126265,0.034314215,0.9717956, 3
AccLin, 201, 0.50198805,0.77920264,0.67389965, 3
Gravity, 202, -0.73454744,0.73145914,9.751707, 3
RotVec, 203, -0.024293995,0.047678653,0.9456202, 3
AccLin, 204, 0.57308173,-0.904526,-1.8893108, 3
Gravity, 205, -1.0729692,1.0564381,9.690359, 3
RotVec, 206, -0.025626464,0.07107846,0.9058183, 3
AccLin, 207, 0.6940493,0.4854765,0.16335297, 3
Gravity, 208, -1.533421,1.0456529,9.629415, 3
RotVec, 209, -0.03740888,0.085598975,0.84324193, 3
AccLin, 210, 0.06245029,-2.1992114,3.9000082, 3
Gravity, 211, -1.8079137,0.94334865,9.592285, 3
RotVec, 212, -0.036500305,0.09699059,0.74026185, 3
AccLin, 213, 0.835413,-1.5217935,-0.3732977, 3
Gravity, 214, -1.3073412,0.5696951,9.702407, 3
RotVec, 215, -0.023418395,0.07050986,0.6661509, 3
AccLin, 216, -0.15034604,-0.079967916,0.05731678, 3
Gravity, 217, -1.0395219,0.34123665,9.745427, 3
RotVec, 218, -0.016790794,0.05584684,0.5577984, 3
AccLin, 219, -1.1973512,0.40195003,-0.20781612, 3
Gravity, 220, -0.29417932,0.10971774,9.801622, 3
RotVec, 221, -0.003033947,0.016018426,0.5070718, 3
